,Open,High,Low,Close,Adj Close,Volume
2021-09-23,150.0,152.07771798431256,148.90290136404298,150.0,150.0,706924
2021-09-24,141.81454711437829,142.05553263455434,140.2668823001579,141.81454711437829,141.81454711437829,768597
2021-09-25,142.64778251722635,143.51494409045245,141.9362221524458,142.64778251722635,142.64778251722635,1214834
2021-09-26,143.64704601187333,144.52559701029688,142.5938419909736,143.64704601187333,143.64704601187333,1398474
2021-09-27,141.4716907654567,142.41419254938592,139.85441133101025,141.4716907654567,141.4716907654567,1120457
2021-09-28,139.21595434258617,139.74339008987576,138.41931633585054,139.21595434258617,139.21595434258617,840784
2021-09-29,135.03766509361793,135.8141165958131,133.98500553165155,135.03766509361793,135.03766509361793,1147186
2021-09-30,133.2851231907029,133.99602185000273,133.0645644982151,133.2851231907029,133.2851231907029,958252
2021-10-01,134.8153388501927,135.57313013545885,133.14532853683454,134.8153388501927,134.8153388501927,676685
2021-10-02,133.99432947345127,134.11846728290612,133.9689036564348,133.99432947345127,133.99432947345127,1043345
2021-10-03,138.62657635921218,138.78275365551428,138.56906909939812,138.62657635921218,138.62657635921218,869682
2021-10-04,140.57409709024483,140.7087304407083,139.23538775255818,140.57409709024483,140.57409709024483,1023870
2021-10-05,139.70545530729862,140.7408353489101,139.50876835853728,139.70545530729862,139.70545530729862,805520
2021-10-06,143.27350012298996,143.32032004844672,142.60937334087248,143.27350012298996,143.27350012298996,948109
2021-10-07,145.3712843492674,145.78199384043822,145.08749656370685,145.3712843492674,145.3712843492674,1097617
2021-10-08,142.02652489775178,142.17076112345705,141.80289142815056,142.02652489775178,142.02652489775178,642196
2021-10-09,142.52874457773314,142.64036548154732,141.9280287144044,142.52874457773314,142.52874457773314,1067175
2021-10-10,145.8525179320623,146.46960650593047,145.41405752388874,145.8525179320623,145.8525179320623,1629971
2021-10-11,139.74435699091907,140.52478769366812,139.51518647861548,139.74435699091907,139.74435699091907,1193190
2021-10-12,144.74879881158225,145.36881113595507,144.47124205554462,144.74879881158225,144.74879881158225,757716
2021-10-13,147.6677881733724,148.59406822271131,145.95174504750815,147.6677881733724,147.6677881733724,933756
2021-10-14,148.89070264224895,149.85517996686372,148.7259197923341,148.89070264224895,148.89070264224895,451167
2021-10-15,146.67000861969748,147.2904451897897,146.46264791539747,146.67000861969748,146.67000861969748,609483
2021-10-16,150.42872831626386,150.6265021719464,149.89664177378833,150.42872831626386,150.42872831626386,669404
2021-10-17,159.98766477586034,160.0702755881228,159.2633982029097,159.98766477586034,159.98766477586034,860662
2021-10-18,156.16448448284936,156.97008990375159,155.41854194221534,156.16448448284936,156.16448448284936,1112574
2021-10-19,157.25087043012365,157.56113025954,156.97019108601756,157.25087043012365,157.25087043012365,1164319
2021-10-20,159.6865949996353,159.75948204628682,158.70955234875336,159.6865949996353,159.6865949996353,893020
2021-10-21,162.02006765763255,162.34176214928902,161.846086919347,162.02006765763255,162.02006765763255,487427
2021-10-22,161.66835368437438,162.5703595535053,160.14250767278895,161.66835368437438,161.66835368437438,1197574
2021-10-23,165.6803646666537,166.0000957386202,163.88535555514926,165.6803646666537,165.6803646666537,590238
2021-10-24,162.18313181439586,162.53953562049102,161.93494053561287,162.18313181439586,162.18313181439586,868566
2021-10-25,154.05294514549445,155.12123002317009,153.70316061072936,154.05294514549445,154.05294514549445,1061926
2021-10-26,148.05398941055577,148.60532045099927,147.25323364064081,148.05398941055577,148.05398941055577,1104195
2021-10-27,151.4393571345583,152.32233064409655,151.2264560447387,151.4393571345583,151.4393571345583,1382648
2021-10-28,147.71050581032156,147.9955319547048,147.51978599304786,147.71050581032156,147.71050581032156,1034892
2021-10-29,150.06654631925448,150.3115956125419,148.9616102522418,150.06654631925448,150.06654631925448,629067
2021-10-30,150.4708537358759,151.08448981477943,149.63815252087295,150.4708537358759,150.4708537358759,621982
2021-10-31,148.05132596571707,149.08627735788735,147.84117963608736,148.05132596571707,148.05132596571707,1202724
2021-11-01,155.26027640162448,156.25206192957904,155.0365326832353,155.26027640162448,155.26027640162448,808811
2021-11-02,159.71894117469697,161.09496136684018,158.0627175221312,159.71894117469697,159.71894117469697,732148
2021-11-03,158.9073708913003,159.40023317350693,158.7173206719405,158.9073708913003,158.9073708913003,1415013
2021-11-04,158.13247551312273,158.7351647816619,156.6978683820948,158.13247551312273,158.13247551312273,1536766
2021-11-05,156.39318204486312,157.24442037859652,155.2732214106878,156.39318204486312,156.39318204486312,522938
2021-11-06,154.54708855058166,156.4098749811623,154.13117407553207,154.54708855058166,154.54708855058166,1103169
2021-11-07,153.92733024296663,155.05428600537442,153.77477312520753,153.92733024296663,153.92733024296663,962925
2021-11-08,157.93950968141098,158.47240058922443,157.79615108607697,157.93950968141098,157.93950968141098,1115803
2021-11-09,161.2198198636103,161.5013788636523,160.46147594931287,161.2198198636103,161.2198198636103,1211674
2021-11-10,157.76426609121208,159.01668923697727,156.96610839672377,157.76426609121208,157.76426609121208,1083034
2021-11-11,159.67966076674395,159.73755996983658,159.1788947566828,159.67966076674395,159.67966076674395,1448863
